ID,Language,Concept,Form
2505,Mi,SEE,kajk
2506,Pa,SEE,ʃã̀ʔ
2507,Ra,SEE,suŋ
2508,Gua,SEE,kua:ki
2509,Bor,SEE,íʃt
2510,Bri,SEE,sũ
2511,Cab,SEE,sũ
2512,Te,SEE,ĩ́k
2513,Mo,SEE,tũ
2514,Bor,SEE,tiẽ
2515,Dor,SEE,okosí
2516,Cu,SEE,takke
2517,Co,SEE,tũ
2518,Ica,SEE,'tʃw
2519,Da,SEE,tu'a
2520,Chi,SEE,tu:
2521,Mu,SEE,ihistɨ
2522,Tun,SEE,is'ti
2523,Ba,SEE,ma:di
2524,LS,GREEN,ts'ahjaN
2525,LH,GREEN,siga
2526,Ca,GREEN,sasaka
2527,Su,GREEN,saŋni
2528,Ul,GREEN,saŋka
2529,Mi,GREEN,saŋni
2530,Pa,GREEN,sáʔka
2531,Ra,GREEN,ŋaɾŋaɾiŋma
2532,Gua,GREEN,ɬa:ŋa
2533,Bor,GREEN,uàʔká
2534,Bri,GREEN,tsipâsipǎ
2535,Cab,GREEN,spã́
2536,Te,GREEN,dìŋdíŋ
2537,Mo,GREEN,kaɾe
2538,Bor,GREEN,leɾeɾe
2539,Dor,GREEN,yíama
2540,Cu,GREEN,aɾati
2541,Co,GREEN,a'taʃi
2542,Ica,GREEN,'tʃiki'ɾuɾu
2543,Da,GREEN,'itiki
2544,Chi,GREEN,'ka:ɾasah
2545,Mu,GREEN,tʲɨskiko
2546,Tun,GREEN,ti'kaja
2547,Ba,GREEN,binaikana
2548,LS,OLD,koko
2549,LH,OLD,tahoi
2550,Ca,OLD,uskam
2551,Su,OLD,umani
2552,Ul,OLD,umana
2553,Mi,OLD,almuk
2554,Pa,OLD,ámã̀ʔ
2555,Ra,OLD,juwa
2556,Gua,OLD,saxa:saxa:
2557,Bor,OLD,ùɾàŋká
2558,Bri,OLD,akɪ́tʃkè
2559,Cab,OLD,kɪ̂dʒakè
2560,Te,OLD,kɪ̀:gɪ́
2561,Mo,OLD,ũbɾe
2562,Bor,OLD,huda
2563,Dor,OLD,taré
2564,Cu,OLD,seɾeti
2565,Co,OLD,tuma
2566,Ica,OLD,a'tʃənna
2567,Da,OLD,ɨttɨna
2568,Chi,OLD,pe:naɾi
2569,Mu,OLD,saka
2570,Tun,OLD,'kumatɾo
2571,Ba,OLD,sakdou
2572,LS,WIND,uʃeka
2573,LH,WIND,soror
2574,Ca,WIND,win
2575,Su,WIND,win
2576,Ul,WIND,win
2577,Mi,WIND,pasa
2578,Pa,WIND,ṹpìʃ
2579,Ra,WIND,pulkat
2580,Gua,WIND,pu:ɾa
2581,Bor,WIND,ʃùŋ
2582,Bri,WIND,siuaã̌ʔ
2583,Cab,WIND,siuã́
2584,Te,WIND,ɸɺúk
2585,Mo,WIND,muɾie
2586,Bor,WIND,mlie
2587,Dor,WIND,ʃatú
2588,Cu,WIND,purwa
2589,Co,WIND,mul'kala
2590,Ica,WIND,'buntikənɨ
2591,Da,WIND,buɾta
2592,Chi,WIND,ke:dʒaʔ
2593,Mu,WIND,βiβa
2594,Tun,WIND,'seɾoa
2595,Ba,WIND,saba
2596,LS,STOMACH,k'omo
2597,LH,STOMACH,maNkera
2598,Ca,STOMACH,kawam
2599,Su,STOMACH,ba
2600,Ul,STOMACH,ba
2601,Mi,STOMACH,bjara
2602,Pa,STOMACH,já
2603,Ra,STOMACH,uɾmut
2604,Gua,STOMACH,ŋo:ki
2605,Bor,STOMACH,kúà
2606,Bri,STOMACH,dʒã̂uì
2607,Cab,STOMACH,dʒã́hkù
2608,Te,STOMACH,bʊ̀uó
2609,Mo,STOMACH,bule
2610,Bor,STOMACH,bdísuli
2611,Dor,STOMACH,korigú
2612,Cu,STOMACH,sapana
2613,Co,STOMACH,'ʒiʒa
2614,Ica,STOMACH,'zunkənɨ
2615,Da,STOMACH,tɨmɨkɨna
2616,Chi,STOMACH,ke:ɾu
2617,Mu,STOMACH,ie
2618,Tun,STOMACH,'jiɾa
2619,Ba,STOMACH,i:si
2620,LS,I,unani
2621,LH,I,unan
2622,Ca,I,jami
2623,Su,I,jaŋ
2624,Ul,I,jaŋ
2625,Mi,I,jaŋ
2626,Pa,I,tas
2627,Ra,I,na:s
2628,Gua,I,ton
2629,Bor,I,át
2630,Bri,I,dʒěʔ
2631,Cab,I,dʒís
2632,Te,I,tʰà
2633,Mo,I,ti
2634,Bor,I,tʃa
2635,Dor,I,kura
2636,Cu,I,ani
2637,Co,I,nas
2638,Ica,I,nən
2639,Da,I,ɾa
2640,Chi,I,na:ɾi
2641,Mu,I,hɨtʲa
2642,Tun,I,'asa
2643,Ba,I,nãĩ
